tx_id,sender_id,receiver_id,amount,currency,status,timestamp
69a980d01e8e42c68fc7056fe54012c2,USR_16982,USR_37422,"1443,81",USD,FAILED,1778056119
bc635b9a38c7402f81201a69248bbacb,USR_10875,USR_31535,"1733,25",USDT,REJECTED,1778249052
9852bb023a724e57a2ac6debbedbbcc5,USR_9163,USR_28502,"1941,96",EUR,REJECTED,1777264563
0b2e077253d643aea71edc3e8702bb2b,USR_13737,USR_27861,"4961,47",USDT,REJECTED,1779343372
371cfe4c0c8f4415a95db6e467c4fc45,USR_11010,USR_16440,"3258,25",USD,SUCCESS,1779265067
a78b9fed8f264124ab5f73e590b112a6,USR_18266,USR_48078,"1340,32",RUB,SUCCESS,1777282554
e237dc07afed4d1dadda4fe150fa241f,USR_30635,USR_44104,"2462,35",RUB,SUCCESS,1777423188
10e0e129ceb4467990fe459444b49084,USR_16865,USR_45801,"1486,19",RUB,SUCCESS,1777778992
3a7f3d287a764b7bbd373033b55af2c4,USR_33020,USR_26723,"4523,02",EUR,NULL,1777208167
7e253a2b4f014a5dbbbad019be66d4d5,USR_21704,USR_20112,"4562,17",RUB,REJECTED,1777337280
9ac9f9b18cec4cc98a7f49d47a24744d,USR_27223,USR_9726,"3725,25",EUR,FAILED,1777948754
e62343f5ba3449659ef82918e0760475,USR_7177,USR_23081,"2041,37",KZT,SUCCESS,1776944950
fcbb8cc9e7794226830b90d72a9c634c,USR_26929,USR_9142,"4174,36",USDT,N/A,1778692986
0f7a6e1af9e3481caed7a2aa037db0f0,USR_24665,USR_42888,"89,16",KZT,FAILED,1777867843
88bead3e94b94f72bba960c2d39de05e,  USR_4451	 ,USR_35886,"4279,55",USD,FAILED,1777591336
ee3a6b587883454b804759244ea111a6,USR_9820,USR_44584,"3206,03",USD,SUCCESS,1778156178
d53da067b21945d7ad1f0a8a9f6e23bc,USR_25943,USR_20527,"4036,71",USDT,FAILED,1779363911
51d47fffc5b846e6a2bac267df9df933,USR_49916,USR_19233,"4035,78",EUR,FAILED,1777278138
e53f20428a2947bbbf97a5664364f713,USR_27781,USR_37787,"1276,56",RUB,FAILED,1777410304
f05dc5b34ab646d487fef1d7ee6a6119,USR_7204,USR_4722,"4152,12",RUB,SUCCESS,
aa740f1f95874a8bb6e134390feb6639,  USR_12745	 ,USR_23482,"239,51",KZT,SUCCESS,1778198020
8ce11b9a51974141bbd3e59ba4026172,USR_7276,USR_44734,"4573,34",KZT,SUCCESS,1779475746
93fe346fead148c480a3e2fbb57b477b,USR_11781,USR_34462,"2534,1",USD,PENDING,1779256197
fd32bd8dcf2a438baab6abcb220b8757,USR_5782,USR_1729,"4176,23",KZT,SUCCESS,1778244020
c2381524b8a84468b47210b427133d3f,USR_17649,USR_16171,"1466,17",RUB,REJECTED,1777415152
be20d86730ce47f3a1d5c5e71000e4b4,USR_40673,USR_43246,"1196,86",KZT,SUCCESS,1778814706
8b2e83cdae2e4704a2780a0e4c8dcf50,USR_18787,USR_38321,"4919,26",KZT,SUCCESS,1777519847
101d8cce73ae4d5d88e883b072811461,USR_37332,USR_6960,"3574,33",USD,REJECTED,1777251595
472f47a97417498ab39bd3e7cbdabe4f,USR_1850,USR_11704,"3556,7",KZT,REJECTED,1779012140
3f5235c9e8d74d2eb26f334e55bd6bb1,USR_35268,USR_24712,"2483,31",EUR,SUCCESS,1777389291
cabed69715124262bde07ce58019279e,USR_30622,USR_29700,"1852,07",KZT,NULL,1778973098
e8e95df9a43b42a0a9f9e12975a09504,USR_44102,USR_9879,"2605,97",KZT,SUCCESS,1777077140
7563176542ba4692a23fee7f79188b83,USR_10750,USR_5630,"2542,9",USD,SUCCESS,1777961198
51bc7c63085448afb6dac027ee79a975,USR_49325,USR_12765,"1448,83",EUR,PENDING,1778576452
1ff6aa9647ef4b44b876c64e4348755a,USR_39842,USR_2819,"986,15",USD,SUCCESS,1778454699
2964ff12fbb04fa2bc56cb9bb512e0e6,USR_33547,USR_28701,"2629,34",EUR,FAILED,1778085408
308e3900aeef4de6b053c6394175c901,USR_45291,USR_26294,"3239,52",USD,REJECTED,1777087665
5f6e4a834c044962a876604883d22d84,USR_10366,USR_13873,"914,75",USD,SUCCESS,1778261949
400a6b1e45ca4e05a5819ad9a5cbf2c7,USR_32940,USR_931,"1325,31",USDT,FAILED,1778264053
